Fund,Bank Name ,City ,State ,Location,Latitude,Longitude,QBFASSET
10443,First Capital Bank,Kingfisher,OK,"Kingfisher, OK",35.9471931,-97.9641244,147961
10440,"Alabama Trust Bank, National Association",Sylacauga,AL,"Sylacauga, AL",33.1731716,-86.2516406,518151
10439,"Security Bank, National Association",North Lauderdale,FL,"North Lauderdale, FL",26.217305,-80.2258811,65498
10437,Palm Desert National Bank,Palm Desert,CA,"Palm Desert, CA",33.7288179,-116.382571,12994
10438,Plantation Federal Bank,Pawleys Island,SC,"Pawleys Island, SC",33.4293486,-79.1215912,755923
10436,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,"Maple Grove, MN",45.0984983,-93.4419222,11438990
10435,HarVest Bank of Maryland,Gaithersburg,MD,"Gaithersburg, MD",39.1399187,-77.1929215,203262
10434,Bank of the Eastern Shore,Cambridge,MD,"Cambridge, MD",38.5714624,-76.0763177,6143903
10433,"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,"Fort Lee, NJ",40.8509333,-73.9701382,1795420
10432,Fidelity Bank,Dearborn,MI,"Dearborn, MI",42.3222599,-83.1763145,1464127
10431,Premier Bank,Wilmette,IL,"Wilmette, IL",42.0757315,-87.7193768,1201922
10430,Covenant Bank & Trust,Rock Spring,GA,"Rock Spring, GA",34.8242442,-85.2427323,3646071
10429,New City Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,155566
10428,Global Commerce Bank,Doraville,GA,"Doraville, GA",33.8981579,-84.2832564,88031
10427,Home Savings of America,Little Falls,MN,"Little Falls, MN",45.9763545,-94.3625024,440122
10426,Central Bank of Georgia,Ellaville,GA,"Ellaville, GA",32.2382139,-84.3090798,2824737
10425,SCB Bank,Shelbyville,IN,"Shelbyville, IN",39.5214373,-85.7769238,6177
10424,Charter National Bank and Trust,Hoffman Estates,IL,"Hoffman Estates, IL",42.0427256,-88.0792782,96584
10420,BankEast,Knoxville,TN,"Knoxville, TN",35.9603948,-83.9210261,161355
10422,Patriot Bank Minnesota,Forest Lake,MN,"Forest Lake, MN",45.279106,-92.9851629,240251
10423,Tennessee Commerce Bank,Franklin,TN,"Franklin, TN",35.925206,-86.8689419,382803
10421,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,"Jacksonville, FL",30.3321838,-81.655651,64344
10417,American Eagle Savings Bank,Boothwyn,PA,"Boothwyn, PA",39.835907000000006,-75.4488451464276,866459
10419,The First State Bank,Stockbridge,GA,"Stockbridge, GA",33.5442781,-84.2338093,453349
10418,Central Florida State Bank,Belleview,FL,"Belleview, FL",29.0552507,-82.0623105,255920
10416,Western National Bank,Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141,68201
10415,Premier Community Bank of the Emerald Coast,Crestview,FL,"Crestview, FL",30.7621326,-86.5705084,332596
10413,Central Progressive Bank,Lacombe,LA,"Lacombe, LA",30.3135288,-89.9431264,2977290
10414,Polk County Bank,Johnston,IA,"Johnston, IA",41.6731523,-93.6973395,129429
10412,Community Bank of Rockmart,Rockmart,GA,"Rockmart, GA",34.0026005,-85.0416133,208204
10411,SunFirst Bank,Saint George,UT,"Saint George, UT",37.0802661,-113.5784608,1700117
10410,"Mid City Bank, Inc.",Omaha,NE,"Omaha, NE",41.2587459,-95.9383758,19259
10409,All American Bank,Des Plaines,IL,"Des Plaines, IL",42.0415823,-87.8873916,182561
10405,Community Banks of Colorado,Greenwood Village,CO,"Greenwood Village, CO",39.6172101,-104.950814,434111
10406,Community Capital Bank,Jonesboro,GA,"Jonesboro, GA",33.5215013,-84.3538128,48861
10407,Decatur First Bank,Decatur,GA,"Decatur, GA",30.8736613,-84.5740953,463840
10408,Old Harbor Bank,Clearwater,FL,"Clearwater, FL",27.9658533,-82.8001026,433512
10402,Country Bank,Aledo,IL,"Aledo, IL",41.199665,-90.7484836,54373
10403,First State Bank,Cranford,NJ,"Cranford, NJ",40.6584358,-74.2995923,190891
10401,"Blue Ridge Savings Bank, Inc.",Asheville,NC,"Asheville, NC",35.6009498,-82.5540161,65686
10404,Piedmont Community Bank,Gray,GA,"Gray, GA",33.0095802,-83.5337816,92982
10400,Sun Security Bank,Ellington,MO,"Ellington, MO",37.2417147,-90.9687356,140063
10399,The RiverBank,Wyoming,MN,"Wyoming, MN",45.3363551,-92.9971631,70286
10398,First International Bank,Plano,TX,"Plano, TX",33.0136764,-96.6925096,80736
10397,Citizens Bank of Northern California,Nevada City,CA,"Nevada City, CA",39.2615606,-121.0160594,1031900
10396,Bank of the Commonwealth,Norfolk,VA,"Norfolk, VA",36.8448348,-76.2863999,166345
10395,The First National Bank of Florida,Milton,FL,"Milton, FL",30.6324149,-87.0396881,23292
10393,CreekSide Bank,Woodstock,GA,"Woodstock, GA",34.1014112,-84.5192192,105044
10394,Patriot Bank of Georgia,Cumming,GA,"Cumming, GA",34.2073196,-84.1401926,25942
10390,First Choice Bank,Geneva,IL,"Geneva, IL",41.8875281,-88.3053525,85485
10391,First Southern National Bank,Statesboro,GA,"Statesboro, GA",32.4490141,-81.7832912,63890
10392,Lydian Private Bank,Palm Beach,FL,"Palm Beach, FL",26.6279798,-80.4494174,17438
10389,Public Savings Bank,Huntingdon Valley,PA,"Huntingdon Valley, PA",40.1226101,-75.0635049,10764
10388,The First National Bank of Olathe,Olathe,KS,"Olathe, KS",38.8838856,-94.81887,384172
10387,Bank of Whitman,Colfax,WA,"Colfax, WA",41.6777241,-93.2452335,58454
