fund,bank_name,city,state,location,latitude,longitude,faildate,qbfasset
10247,First National Bank,Rosedale,MS,"Rosedale, MS",33.8551004,-91.0266112,6/4/2010,60449
10245,Sun West Bank,Las Vegas,NV,"Las Vegas, NV",36.1672559,-115.148516,5/28/2010,360662
10244,"Granite Community Bank, NA",Granite Bay,CA,"Granite Bay, CA",38.7632346,-121.1638361,5/28/2010,102913
10243,Bank of Florida - Tampa,Tampa,FL,"Tampa, FL",27.9477595,-82.458444,5/28/2010,240513
10242,Bank of Florida - Southwest,Naples,FL,"Naples, FL",26.1421976,-81.7942944,5/28/2010,640894
10241,Bank of Florida - Southeast,Fort Lauderdale,FL,"Fort Lauderdale, FL",26.1223084,-80.1433786,5/28/2010,595318
10240,Pinehurst Bank,Saint Paul,MN,"Saint Paul, MN",44.9497487,-93.0931028,5/21/2010,61215
10236,Midwest Bank and Trust Company,Elmwood Park,IL,"Elmwood Park, IL",41.9205931,-87.8160169,5/14/2010,3172915
10239,Southwest Community Bank,Springfield,MO,"Springfield, MO",37.1968298,-93.2946576,5/14/2010,100659
10237,New Liberty Bank,Plymouth,MI,"Plymouth, MI",45.0065149,-93.46651,5/14/2010,111239
10238,Satilla Community Bank,Saint Marys,GA,"Saint Marys, GA",30.593752,-82.012049,5/14/2010,135688
10232,1st Pacific Bank of California,San Diego,CA,"San Diego, CA",32.7174202,-117.1627728,5/7/2010,335798
10235,Towne Bank of Arizona,Mesa,AZ,"Mesa, AZ",33.4151005,-111.8314552,5/7/2010,120246
10233,Access Bank,Champlin,MN,"Champlin, MN",45.1888539,-93.3974538,5/7/2010,31996
10234,The Bank of Bonifay,Bonifay,FL,"Bonifay, FL",30.7918559,-85.6796533,5/7/2010,242871
10228,Frontier Bank,Everett,WA,"Everett, WA",47.9673056,-122.201399,4/30/2010,3250734
10225,BC National Banks,Butler,MO,"Butler, MO",36.7151346,-90.4146358,4/30/2010,52204
10227,Champion Bank,Creve Coeur,MO,"Creve Coeur, MO",38.6613007,-90.4423653,4/30/2010,195510
10226,CF Bancorp,Port Huron,MI,"Port Huron, MI",42.9815877,-82.440466,4/30/2010,1599122
10231,Westernbank Puerto Rico,Mayaguez,PR,"Mayaguez, PR",18.2011161,-67.1391124,4/30/2010,10797345
10230,R-G Premier Bank of Puerto Rico,Hato Rey,PR,"Hato Rey, PR",18.3988812,-67.0845472,4/30/2010,5681177
10229,Eurobank,San Juan,PR,"San Juan, PR",18.465299,-66.116666,4/30/2010,2453138
10224,Wheatland Bank,Naperville,IL,"Naperville, IL",41.7728699,-88.1479278,4/23/2010,441694
10223,Peotone Bank and Trust Company,Peotone,IL,"Peotone, IL",41.3323725,-87.7850863,4/23/2010,130165
10221,Lincoln Park Savings Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,4/23/2010,194618
10222,New Century Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,4/23/2010,447239
10220,Citizens Bank and Trust Company of Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,4/23/2010,73490
10219,Broadway Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,4/23/2010,1059194
10218,"Amcore Bank, National Association",Rockford,IL,"Rockford, IL",42.2713945,-89.093966,4/23/2010,3066240
10212,City Bank,Lynnwood,WA,"Lynnwood, WA",47.8278656,-122.3053932,4/16/2010,981913
10217,Tamalpais Bank,San Rafael,CA,"San Rafael, CA",37.9735346,-122.5310874,4/16/2010,611504
10214,Innovative Bank,Oakland,CA,"Oakland, CA",37.8044557,-122.271356,4/16/2010,266816
10211,Butler Bank,Lowell,MA,"Lowell, MA",42.6414437,-71.3085329,4/16/2010,245534
10216,Riverside National Bank of Florida,Fort Pierce,FL,"Fort Pierce, FL",27.4467056,-80.3256056,4/16/2010,3393818
10210,AmericanFirst Bank,Clermont,FL,"Clermont, FL",28.5494447,-81.7728543,4/16/2010,104034
10213,First Federal Bank of North Florida,Palatka,FL,"Palatka, FL",29.6487882,-81.6372111,4/16/2010,440122
10215,Lakeside Community Bank,Sterling Heights,MI,"Sterling Heights, MI",42.5803122,-83.0302033,4/16/2010,49173
10209,Beach First National Bank,Myrtle Beach,SC,"Myrtle Beach, SC",33.6956461,-78.8900409,4/9/2010,590024
10205,Desert Hills Bank,Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141,3/26/2010,496552
10208,Unity National Bank,Cartersville,GA,"Cartersville, GA",34.1652304,-84.7997613,3/26/2010,300590
10206,Key West Bank,Key West,FL,"Key West, FL",24.5625566,-81.7724368,3/26/2010,88031
10207,McIntosh Commercial Bank,Carrollton,GA,"Carrollton, GA",33.5801103,-85.0766113,3/26/2010,363405
10203,State Bank of Aurora,Aurora,MN,"Aurora, MN",47.5298533,-92.2367644,3/19/2010,28159
10204,First Lowndes Bank,Fort Deposit,AL,"Fort Deposit, AL",31.9845929,-86.5785856,3/19/2010,137175
10202,Bank of Hiawassee,Hiawassee,GA,"Hiawassee, GA",34.947959,-83.7569922,3/19/2010,377779
10199,Appalachian Community Bank,Ellijay,GA,"Ellijay, GA",34.6950278,-84.4827394,3/19/2010,1010075
